unit,unit_shorthand,unit_full_title,origin,cost,search_name
onsen_yomi-6,Onsen Yomi 6★,不埒斬る焚怒鬼神 ヨミ,Detective Ranpo's Case File -3rd Act-,63,Onsen Yomi 6
blossom_rap_hokusai-5,Blossom Rap Hokusai 5★,参争の韻影画 北斎,Ink-Dyed UKIYO-E Master,63,Blossom Rap Hokusai 5
blossom_rap_hokusai-6,Blossom Rap Hokusai 6★,色声参争の韻栄画 北斎,Ink-Dyed UKIYO-E Master,63,Blossom Rap Hokusai 6
dm_hou_yi_chang_e-5,Dark Moon Hou Yi & Chang'e 5★,Proof of Hero,A Hero's Value,63,Dark Moon Hou Yi & Chang'e 5
dm_hou_yi_chang_e-6,Dark Moon Hou Yi & Chang'e 6★,Guanghan Hou Yi & Chang'e,A Hero's Value,63,Dark Moon Hou Yi & Chang'e 6
xing_tian-6,Xing Tian 6★,未竟巨臣 刑天,History Fragment Exchange,63,Xing Tian 6
xing_tian-ua,Xing Tian UA,忠絕巨臣 刑天,History Fragment Exchange,58,Xing Tian UA
moriarty-5,Moriarty 5★,Moriarty,Moriarty Invades!,58,Moriarty 5
moriarty-6,Moriarty 6★,Perfect Criminal Moriarty,Moriarty Invades!,58,Moriarty 6
cont_oz-5,Continuation Oz 5★,幻創大魔峰 オズ,Oz Invades Again!,58,Continuation Oz 5
cont_oz-6,Continuation Oz 6★,終奪魔殲法 オズ,Oz Invades Again!,58,Continuation Oz 6
oi-5,Oi 5★,応為,Oi Invades!,58,Oi 5
oi-6,Oi 6★,浮世筆刻の背襲者 応為,Oi Invades!,58,Oi 6
gogh-5,Gogh 5★,ゴッホ,Gogh Invades!,58,Gogh 5
gogh-6,Gogh 6★,陰日向の幻画家 ゴッホ,Gogh Invades!,58,Gogh 6
taowu-5,Taowu 5★,Taowu,The Nightmare of Awakening,58,Taowu 5
taowu-6,Taowu 6★,Precarious Tutelage Taowu,The Nightmare of Awakening,58,Taowu 6
yao-5,Yao 5★,Yao,The Prestige of China HQ,58,Yao 5
yao-6,Yao 6★,Wise Emperor Yao,The Prestige of China HQ,58,Yao 6
pu_songling-5,Pu Songling 5★,Pu Songling,Terror Reincarnated,58,Pu Songling 5
pu_songling-6,Pu Songling 6★,Strange Creator Pu Songling,Terror Reincarnated,58,Pu Songling 6
wild_wolf-5,Wild Wolf 5★,Wild Wolf,The Wolf of the Stars,58,Wild Wolf 5
wild_wolf-6,Wild Wolf 6★,Sorrowful Warrior Wild Wolf,The Wolf of the Stars,58,Wild Wolf 6
baihuaxiu-5,Baihuaxiu 5★,Baihuaxiu,Taintless Love,58,Baihuaxiu 5
baihuaxiu-6,Baihuaxiu 6★,Lost Memories Baihuaxiu,Taintless Love,58,Baihuaxiu 6
ubbo-sathla-5,Ubbo-Sathla 5★,Ubbo-Sathla,Calamity Omen,58,Ubbo-Sathla 5
ubbo-sathla-6,Ubbo-Sathla 6★,Calamity Bringer Ubbo-Sathla,Calamity Omen,58,Ubbo-Sathla 6
cthulhu-5,Cthulhu 5★,Cthulhu,Chaotic Supremacy,58,Cthulhu 5
cthulhu-6,Cthulhu 6★,Abyssal Origin Cthulhu,Chaotic Supremacy,58,Cthulhu 6
sagittarius-5,Sagittarius 5★,Eternal Curse Sagittarius,Redemption,58,Sagittarius 5
sagittarius-6,Sagittarius 6★,Genocidal Nature Sagittarius,Redemption,58,Sagittarius 6
gemini_sister-5,Zenith Oath Gemini 5★,Sol First Gemini,Conclave,58,Zenith Oath Gemini 5
gemini_sister-6,Zenith Oath Gemini 6★,Zenith Oath Gemini,Conclave,58,Zenith Oath Gemini 6
sejo_of_joseon-5,Sejo of Joseon 5★,Sejo of Joseon,Final Calamity: End,58,Sejo of Joseon 5
sejo_of_joseon-6,Sejo of Joseon 6★,Black Magic Beast Sejo of Joseon,Final Calamity: End,58,Sejo of Joseon 6
shu_e-5,Shu E 5★,Shu E,The Unknown Cataclysm,58,Shu E 5
shu_e-6,Shu E 6★,Residual Chapters of Old Shu E,The Unknown Cataclysm,58,Shu E 6
shu_e-ua,Shu E UA,Scattered Chapters of New Shu E,The Unknown Cataclysm,58,Shu E UA
koj_force_oda_tokugawa-5,KoJ Force Oda & Tokugawa 5★,Nobunaga Oda & Ieyasu Tokugawa,Team of Heroes,58,KoJ Force Oda & Tokugawa 5
koj_force_oda_tokugawa-6,KoJ Force Oda & Tokugawa 6★,Fiery Alliance Nobunaga & Ieyasu,Team of Heroes,58,KoJ Force Oda & Tokugawa 6
hero_alliance-5,Hero Alliance 5★,Hero Alliance,Two Heroes,58,Hero Alliance 5
hero_alliance-6,Hero Alliance 6★,Harmonious Assault Hero Alliance,Two Heroes,58,Hero Alliance 6
s_d_b-5,S.D.B. 5★,S.D.B.,Most Sinister Monarch,58,S.D.B. 5
s_d_b-6,S.D.B. 6★,顕験する異機神 S.D.B.,Most Sinister Monarch,58,S.D.B. 6
dodo-5,Dodo 5★,予選ターゲットA,Preliminary Target A,58,Dodo 5
dodo-6,Dodo 6★,現銃鳥 ドードーの評価点,Preliminary Target A,58,Dodo 6
natsume_akutagawa-5,Natsume & Akutagawa 5★,夏目漱石＆芥川龍之介,In Regards to Mankind,58,Natsume & Akutagawa 5
natsume_akutagawa-6,Natsume & Akutagawa 6★,編世の合策 夏目漱石＆芥川龍之介,In Regards to Mankind,58,Natsume & Akutagawa 6
hallucigenia_cl-5,Hallucigenia CL 5★,古の棘虐 ハルキゲニア〈CL〉,ALICE/GAME Part 2 Ticket Hatcher,58,Hallucigenia CL 5
hallucigenia_cl-6,Hallucigenia CL 6★,禍触的棘虐 ハルキゲニア〈CL〉,ALICE/GAME Part 2 Ticket Hatcher,58,Hallucigenia CL 6
smilodon-5,Smilodon 5★,古の獰牙 スミロドン,Defensive Friend's Assault,58,Smilodon 5
smilodon-6,Smilodon 6★,最害的獰牙 スミロドン,Defensive Friend's Assault,58,Smilodon 6
william-5,William 5★,William,My Dear Brother,58,William 5
william-6,William 6★,Chaotic Problem Child William,My Dear Brother,58,William 6
isekai_azazel-5,Isekai Azazel 5★,斬人なる兇魔剣 アザゼル,Abusive Demon King,58,Isekai Azazel 5
isekai_azazel-6,Isekai Azazel 6★,異界蝕む獄魔王 アザゼル,Abusive Demon King,58,Isekai Azazel 6
xmas_galileo_galilei-5,Christmas Galileo & Galilei 5★,The Sister's Detective Galilei,JP Christmas 2019 Exchange,58,Christmas Galileo & Galilei 5
xmas_galileo_galilei-6,Christmas Galileo & Galilei 6★,Holy Laughter Galileo & Galilei,JP Christmas 2019 Exchange,58,Christmas Galileo & Galilei 6
noin-5,Noin 5★,Noin,What I Wanted the Most,58,Noin 5
noin-6,Noin 6★,Frosty Monster Noin,What I Wanted the Most,58,Noin 6
thetis_cmr-tn-5,Thetis CMR-TN 5★,テティスCMR-TN,Synthetic Sea of Reincarnation,58,Thetis CMR-TN 5
thetis_cmr-tn-6,Thetis CMR-TN 6★,闇海合精体 テティスCMR-TN,Synthetic Sea of Reincarnation,58,Thetis CMR-TN 6
ny_hera-5,New Years Hera 5★,Limpid Crimson Hera,Red Team Performance,58,New Years Hera 5
ny_hera-6,New Years Hera 6★,Dazzling Curtain of Song Hera,Red Team Performance,58,New Years Hera 6
ny_leviathan-5,New Years Leviathan 5★,Reverend Sea Dragon Leviathan,A Dragon That Loves Mice,58,New Years Leviathan 5
ny_leviathan-6,New Years Leviathan 6★,Novitiate Dragon Leviathan,A Dragon That Loves Mice,58,New Years Leviathan 6
virbu-5,VirBu / Wilbur 5★,ウィルバー,VirBu / Wilbur Invades!,58,Wilbur 5
virbu-6,VirBu / Wilbur 6★,憎汚の掃除鬼 ウィルバー,VirBu / Wilbur Invades!,58,Wilbur 6
gennai_hiraga-5,Gennai Hiraga 5★,平賀源内,Gennai Hiraga Invades!,58,Gennai Hiraga 5
gennai_hiraga-6,Gennai Hiraga 6★,蘭鰻の操電者 平賀源内,Gennai Hiraga Invades!,58,Gennai Hiraga 6
valentines_tsukuyomi-5,Valentines Tsukuyomi 5★,夢邪気の夜想歌 ツクヨミ,Moon Goddess Who Shines in the Night,58,Valentines Tsukuyomi 5
valentines_tsukuyomi-6,Valentines Tsukuyomi 6★,確醒の神性演 ツクヨミ,Moon Goddess Who Shines in the Night,58,Valentines Tsukuyomi 6
valentines_tsukuyomi-ua,Valentines Tsukuyomi UA,親愛の神性演 ツクヨミ,Moon Goddess Who Shines in the Night,58,Valentines Tsukuyomi UA
onsen_dong_zhuo-5,Onsen Dong Zhuo 5★,挑熱の蒸愛君 董卓,Detective Ranpo's Case File -2nd Act-,58,Onsen Dong Zhuo 5
onsen_dong_zhuo-6,Onsen Dong Zhuo 6★,嗜熱の豪耐君 董卓,Detective Ranpo's Case File -2nd Act-,58,Onsen Dong Zhuo 6
blossom_rap_kagutsuchi-5,Blossom Rap Kagutsuchi 5★,親音の韻火 カグツチ,The Fire God's Burning Spirit,58,Blossom Rap Kagutsuchi 5
blossom_rap_kagutsuchi-6,Blossom Rap Kagutsuchi 6★,神家の温詞炎 カグツチ,The Fire God's Burning Spirit,58,Blossom Rap Kagutsuchi 6
singer_columbus-6,Singer Columbus 6★,The Voice of Columbus,Leif Goes to ALIWOOD,53,Singer Columbus 6
singer_columbus-ua,Singer Columbus UA,Ol' Blue Eyes Columbus,Leif Goes to ALIWOOD,58,Singer Columbus UA
xmas_nakoto-5,Christmas Nakoto 5★,Sleepy Savior Nakoto,A Chaotic Christmas,58,Christmas Nakoto 5
xmas_nakoto-6,Christmas Nakoto 6★,X-mas Morning Breakfast Nakoto,A Chaotic Christmas,58,Christmas Nakoto 6
xmas_virgo_taurus-5,Christmas Virgo & Taurus 5★,Christmas Ready Virgo & Taurus,A Christmas Dream,58,Christmas Virgo & Taurus 5
xmas_virgo_taurus-6,Christmas Virgo & Taurus 6★,Christmas Party Virgo & Taurus,A Christmas Dream,58,Christmas Virgo & Taurus 6
travel_yog-sothoth-6,Travel Yog-Sothoth 6★,Plague Stravaganza Yog-Sothoth,"Buongiorno, Signore Mashere!",53,Travel Yog-Sothoth 6
travel_yog-sothoth-ua,Travel Yog-Sothoth UA,Sospiro Mysterioso Yog-Sothoth,"Buongiorno, Signore Mashere!",58,Travel Yog-Sothoth UA
walpurgisnacht-5,Walpurgisnacht 5★,Stage Device Witch,The Ultimate Calamity,58,Walpurgisnacht 5
walpurgisnacht-6,Walpurgisnacht 6★,Walpurgisnacht Stage Witch,The Ultimate Calamity,58,Walpurgisnacht 6
accelerator-5,Accelerator 5★,Accelerator,First Place Ruler,58,Accelerator 5
accelerator-6,Accelerator 6★,Academy City's #1 Accelerator,First Place Ruler,58,Accelerator 6
ellen_m_mathers-5,Ellen M. Mathers 5★,Ellen M. Mathers,The Strongest Magician of the World,58,Ellen M. Mathers 5
ellen_m_mathers-6,Ellen M. Mathers 6★,Ultimate Wizard Ellen M. Mathers,The Strongest Magician of the World,58,Ellen M. Mathers 6
ellen_m_mathers-ua,Ellen M. Mathers UA,Ellen M. Mathers,The Strongest Magician of the World,58,Ellen M. Mathers UA
gothic_rock_meiko-5,Gothic Rock Meiko 5★,Fascinating Red Maquillage MEIKO,The Gothic Road,58,Gothic Rock Meiko 5
gothic_rock_meiko-6,Gothic Rock Meiko 6★,Red String Beauty MEIKO,The Gothic Road,58,Gothic Rock Meiko 6
bonanza-5,Bonanza 5★,Bonanza,Avaricia Tower F12,58,Bonanza 5
bonanza-6,Bonanza 6★,Queen of Avaricia Bonanza,Avaricia Tower F12,58,Bonanza 6
rose-5,Rose 5★,Rose,Elfram Tower F12,58,Rose 5
rose-6,Rose 6★,Queen of Elfram Rose,Elfram Tower F12,58,Rose 6
sophia-5,Sophia 5★,Sophia,Chandille Tower F12,58,Sophia 5
sophia-6,Sophia 6★,Queen of Chandille Sophia,Chandille Tower F12,58,Sophia 6
elly-5,Elly 5★,Elly,Lucial Tower F12,58,Elly 5
elly-6,Elly 6★,Queen of Lucial Elly,Lucial Tower F12,58,Elly 6
gung_ye-5,Gung Ye 5★,Gung Ye,False Tower F11,58,Gung Ye 5
gung_ye-6,Gung Ye 6★,False Bodhisattva Gung Ye,False Tower F11,58,Gung Ye 6
mutated_taotie-5,Mutated Taotie 5★,Enchanted Seal・Blue,Tower of Four Perils F4,58,Mutated Taotie 5
mutated_taotie-6,Mutated Taotie 6★,Twisted Sweet Swallow Taotie,Tower of Four Perils F4,58,Mutated Taotie 6
mutated_qiong_qi-5,Mutated Qiong Qi 5★,Enchanted Seal・Red,Tower of Four Perils F8,58,Mutated Qiong Qi 5
mutated_qiong_qi-6,Mutated Qiong Qi 6★,Good and Evil Judgement Qiong Qi,Tower of Four Perils F8,58,Mutated Qiong Qi 6
mutated_hun_dun-5,Mutated Hun Dun 5★,Enchanted Seal・Green,Tower of Four Perils F12,58,Mutated Hun Dun 5
mutated_hun_dun-6,Mutated Hun Dun 6★,Dark-Mutated Source Code Hun Dun,Tower of Four Perils F12,58,Mutated Hun Dun 6
muramasa-5,Muramasa 5★,Muramasa,Ranking Point Exchange,58,Muramasa 5
muramasa-6,Muramasa 6★,"Muramasa, the Executioner",Ranking Point Exchange,58,Muramasa 6
masamune-5,Masamune 5★,Masamune,Ranking Point Exchange,58,Masamune 5
masamune-6,Masamune 6★,"Masamune, the Ultimate Blade",Ranking Point Exchange,58,Masamune 6
ame_no_murakumo-5,Ame no Murakumo 5★,Ame no Murakumo,Ranking Point Exchange,58,Ame no Murakumo 5
ame_no_murakumo-6,Ame no Murakumo 6★,"Ame no Murakumo, Wild Soul",Ranking Point Exchange,58,Ame no Murakumo 6
gae_bolg-5,Gáe Bolg 5★,Gáe Bolg,Ranking Point Exchange,58,Gáe Bolg 5
gae_bolg-6,Gáe Bolg 6★,Arrows of Thunder Gáe Bolg,Ranking Point Exchange,58,Gáe Bolg 6
trident-5,Trident 5★,Trident,Ranking Point Exchange,58,Trident 5
trident-6,Trident 6★,Manipulator of Oceans Trident,Ranking Point Exchange,58,Trident 6
gungnir-5,Gungnir 5★,Gungnir,Ranking Point Exchange,58,Gungnir 5
gungnir-6,Gungnir 6★,Triumphal Spear Gungnir,Ranking Point Exchange,58,Gungnir 6
gambanteinn-5,Gambanteinn 5★,Gambanteinn,Ranking Point Exchange,58,Gambanteinn 5
gambanteinn-6,Gambanteinn 6★,Lucid Offering Gambanteinn,Ranking Point Exchange,58,Gambanteinn 6
sha_wujing-5,Sha Wujing 5★,Sha Wujing,Ranking Point Exchange,58,Sha Wujing 5
sha_wujing-6,Sha Wujing 6★,Lunar Gold Sha Wujing,Ranking Point Exchange,58,Sha Wujing 6
caduceus-5,Caduceus 5★,Caduceus,Ranking Point Exchange,58,Caduceus 5
caduceus-6,Caduceus 6★,Staff of Healing Caduecues,Ranking Point Exchange,58,Caduceus 6
onsen_necronomicon-5,Onsen Necronomicon 5★,Bewildered Instant Necronomicon,Ranking Point Exchange,58,Onsen Necronomicon 5
onsen_necronomicon-6,Onsen Necronomicon 6★,Fatal Attraction Necronomicon,Ranking Point Exchange,58,Onsen Necronomicon 6
magician-5,Magician 5★,Magician,Ghost Point Exchange,58,Magician 5
magician-6,Magician 6★,"Magician, Serendipitous Conjurer",Ghost Point Exchange,58,Magician 6
lovers-5,Lovers 5★,Lovers,Ghost Point Exchange,58,Lovers 5
lovers-6,Lovers 6★,Prisoner of Passion Lovers,Ghost Point Exchange,58,Lovers 6
chariot-5,Chariot 5★,Chariot,Ghost Point Exchange,58,Chariot 5
chariot-6,Chariot 6★,Unforgiving Chariot,Ghost Point Exchange,58,Chariot 6
strength-5,Strength 5★,Strength,Ghost Point Exchange,58,Strength 5
strength-6,Strength 6★,Valiant Beastmaster Strength,Ghost Point Exchange,58,Strength 6
ranpo_edogawa-5,Ranpo Edogawa 5★,江戸川乱歩,JP Onsen 2020 Missions,58,Ranpo Edogawa 5
ranpo_edogawa-6,Ranpo Edogawa 6★,怪筆の聡眼鏡 江戸川乱歩,JP Onsen 2020 Missions,58,Ranpo Edogawa 6
nakoto-5,Nakoto 5★,Sealed Savior Nakoto,Chaotic Fragment Exchange,58,Nakoto 5
nakoto-6,Nakoto 6★,Freed Savior Nakoto,Chaotic Fragment Exchange,58,Nakoto 6
ophiuchus-5,Ophiuchus 5★,Ophiuchus Ring,Stardust Exchange,58,Ophiuchus 5
ophiuchus-red,Red Ophiuchus,Hellbound Snake Ophiuchus,Stardust Exchange,58,Red Ophiuchus
ophiuchus-green,Green Ophiuchus,Savage Snake Ophiuchus,Stardust Exchange,58,Green Ophiuchus
ophiuchus-blue,Blue Ophiuchus,Laguna Snake Ophiuchus,Stardust Exchange,58,Blue Ophiuchus
ophiuchus-yellow,Yellow Ophiuchus,Wasteland Snake Ophiuchus,Stardust Exchange,58,Yellow Ophiuchus
travel_michelangelo-6,Travel Michelangelo 6★,Flying Squirrel Michelangelo,Never Summer Trails,53,Travel Michelangelo 6
travel_michelangelo-ua,Travel Michelangelo UA,Airborne Squirrel Michelangelo,Never Summer Trails,58,Travel Michelangelo UA
qilin-4,Qilin 4★,Qilin,Qilin Invades!,53,Qilin 4
qilin-5,Qilin 5★,Rare Mythical Beast Qilin,Qilin Invades!,53,Qilin 5
qilin-6,Qilin 6★,"Qilin, Ultimate Beast Lord",Qilin Invades!,53,Qilin 6
qilin-ua,Qilin UA,Quadri-light Beast Qilin,Qilin Invades!,53,Qilin UA
odin-4,Odin 4★,Odin,Odin Invades!,53,Odin 4
odin-5,Odin 5★,Guardian of Wisdom Odin,Odin Invades!,53,Odin 5
odin-6,Odin 6★,Machine God Odin,Odin Invades!,53,Odin 6
odin-ua,Odin UA,Deus Ex Machina Odin,Odin Invades!,53,Odin UA
nobunaga_oda-5,Nobunaga Oda 5★,Nobunaga Oda,Nobunaga Oda Invades!,53,Nobunaga Oda 5
nobunaga_oda-6,Nobunaga Oda 6★,"Nobunaga Oda, True Conqueror",Nobunaga Oda Invades!,53,Nobunaga Oda 6
nobunaga_oda-ua,Nobunaga Oda UA,"Nobunaga Oda, Flame Shadow",Nobunaga Oda Invades!,53,Nobunaga Oda UA
lucifer-5,Lucifer 5★,Lucifer,Lucifer Invades!,53,Lucifer 5
lucifer-6,Lucifer 6★,Haughty Fallen Angel Lucifer,Lucifer Invades!,53,Lucifer 6
zeus-5,Zeus 5★,Zeus,Zeus Invades!,53,Zeus 5
zeus-6,Zeus 6★,Omnipotent God of Thunder Zeus,Zeus Invades!,53,Zeus 6
set-5,Set 5★,Set,Set Invades!,53,Set 5
set-6,Set 6★,Raging Storm Deity Set,Set Invades!,53,Set 6
gilgamesh-5,Gilgamesh 5★,Gilgamesh,Gilgamesh Invades!,53,Gilgamesh 5
gilgamesh-6,Gilgamesh 6★,Rowdy Lion Gilgamesh,Gilgamesh Invades!,53,Gilgamesh 6
lu_bu-5,Lu Bu 5★,Lü Bu,Lü Bu Invades!,53,Lu Bu 5
lu_bu-6,Lu Bu 6★,Vicious Warlord Lü Bu,Lü Bu Invades!,53,Lu Bu 6
hera-5,Hera 5★,Hera,Hera Invades!,53,Hera 5
hera-6,Hera 6★,Jealous Wordsmith Hera,Hera Invades!,53,Hera 6
kafka-5,Kafka 5★,Kafka,Kafka Invades!,53,Kafka 5
kafka-6,Kafka 6★,Winning Metamorphosis Kafka,Kafka Invades!,53,Kafka 6
hideyoshi_toyotomi-5,Hideyoshi Toyotomi 5★,Hideyoshi Toyotomi,Hideyoshi Toyotomi Invades!,53,Hideyoshi Toyotomi 5
hideyoshi_toyotomi-6,Hideyoshi Toyotomi 6★,Rising Dragon Hideyoshi Toyotomi,Hideyoshi Toyotomi Invades!,53,Hideyoshi Toyotomi 6
loki-5,Loki 5★,Loki,Loki Invades!,53,Loki 5
loki-6,Loki 6★,Destroyer of Worlds Loki,Loki Invades!,53,Loki 6
susanoo-5,Susano'o 5★,Susano'o,Susano'o Invades!,53,Susano'o 5
susanoo-6,Susano'o 6★,Lord of War Susano'o,Susano'o Invades!,53,Susano'o 6
andersen-5,Andersen 5★,Andersen,Andersen Invades!,53,Andersen 5
andersen-6,Andersen 6★,Waxing Poetic Andersen,Andersen Invades!,53,Andersen 6
alexander-5,Alexander 5★,Alexander,Alexander Invades!,53,Alexander 5
alexander-6,Alexander 6★,Alexander the Great,Alexander Invades!,53,Alexander 6
arsene_lupin-5,Arsene Lupin 5★,Arsène Lupin,Arsène Lupin Invades!,53,Arsene Lupin 5
arsene_lupin-6,Arsene Lupin 6★,Disappearing Thief Arsène Lupin,Arsène Lupin Invades!,53,Arsene Lupin 6
mephisto-5,Mephisto 5★,Mephisto,Mephisto Invades!,53,Mephisto 5
mephisto-6,Mephisto 6★,Soul Corruption Mephisto,Mephisto Invades!,53,Mephisto 6
perry-5,Perry 5★,Perry,Black Ship Invades!,53,Perry 5
perry-6,Perry 6★,Gate Opening Commodore Perry,Black Ship Invades!,53,Perry 6
ieyasu_tokugawa-5,Ieyasu Tokugawa 5★,Ieyasu Tokugawa,Ieyasu Tokugawa Invades!,53,Ieyasu Tokugawa 5
ieyasu_tokugawa-6,Ieyasu Tokugawa 6★,Retired Shogun Ieyasu Tokugawa,Ieyasu Tokugawa Invades!,53,Ieyasu Tokugawa 6
persephone-5,Persephone 5★,Persephone,Persephone Invades!,53,Persephone 5
persephone-6,Persephone 6★,Twin Scythe Goddess Persephone,Persephone Invades!,53,Persephone 6
medjed-5,Medjed 5★,Medjed,Medjed Invades!,53,Medjed 5
medjed-6,Medjed 6★,Hidden Seer Medjed,Medjed Invades!,53,Medjed 6
sandalphon-5,Sandalphon 5★,Sandalphon,Sandalphon Invades!,53,Sandalphon 5
