unit_base,unit_awake,mat_1,mat_1_num,mat_2,mat_2_num,mat_3,mat_3_num,mat_4,mat_4_num,mat_5,mat_5_num
past_taotie-5,past_taotie-6,yinglong,20,ying_zheng-5,1,infected_yama,1,taotie-6,1,n/a,0
past_qiong_qi-5,past_qiong_qi-6,zhulong,20,sandalphon-5,1,qiong_qi-6,1,hui_shi-5,1,n/a,0
mutated_hun_dun-5,mutated_hun_dun-6,jing_wei,20,persephone-5,1,zhong_kui-5,1,hun_dun-6,1,n/a,0
muramasa-5,muramasa-6,little_humpty,2,urashima-4,2,ezo-4,2,red_hatter,1,n/a,0
masamune-5,masamune-6,little_humpty,2,kaede-4,2,haydn_ogre-4,2,green_hatter,1,n/a,0
ame_no_murakumo-5,ame_no_murakumo-6,little_humpty,2,yuzuru-4,2,yuki-onna-4,2,blue_hatter,1,n/a,0
gae_bolg-5,gae_bolg-6,little_humpty,2,lessa_gigan-4,2,haydn_ogre-4,2,green_hatter,1,n/a,0
trident-5,trident-6,little_humpty,2,leedsichthys-4,2,yuzuru-4,2,blue_hatter,1,n/a,0
gungnir-5,gungnir-6,little_humpty,2,sugaru-4,2,mjolnir-4,2,yellow_hatter,1,n/a,0
gambanteinn-5,gambanteinn-6,little_humpty,2,megalodon-4,2,ezo-4,2,red_hatter,1,n/a,0
sha_wujing-5,sha_wujing-6,little_humpty,2,leedsichthys-4,2,sugarful-4,2,blue_hatter,1,n/a,0
caduceus-5,caduceus-6,little_humpty,2,anomalocaris-4,2,sugaru-4,2,yellow_hatter,1,n/a,0
onsen_necronomicon-5,onsen_necronomicon-6,little_humpty,3,travel_columbus-5,1,travel_michelangelo-6,1,yellow_hatter,1,dynamo_dormouse,1
strength-5,strength-6,little_humpty,1,red_rabbit,1,red_caterpillar,1,flaming_dodo,1,n/a,0
lovers-5,lovers-6,little_humpty,1,green_rabbit,1,green_caterpillar,1,thousand_gales_griffon,1,n/a,0
chariot-5,chariot-6,little_humpty,1,blue_rabbit,1,blue_caterpillar,1,deep_sea_turtle,1,n/a,0
magician-5,magician-6,little_humpty,1,yellow_rabbit,1,yellow_caterpillar,1,dynamo_dormouse,1,n/a,0
ranpo_edogawa-5,ranpo_edogawa-6,evidence_a,1,evidence_b,1,evidence_c,1,n/a,0,n/a,0
nakoto-5,nakoto-6,ig,99,shoggoth-6,99,nightgaunt-6,99,n/a,0,n/a,0
ophiuchus-5,ophiuchus-red,ophiuchus-yellow,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-5,ophiuchus-green,ophiuchus-red,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-5,ophiuchus-blue,ophiuchus-green,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-5,ophiuchus-yellow,ophiuchus-blue,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-red,ophiuchus-green,aquarius-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-red,ophiuchus-blue,pisces-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-red,ophiuchus-yellow,taurus-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-green,ophiuchus-red,aries-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-green,ophiuchus-blue,pisces-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-green,ophiuchus-yellow,taurus-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-blue,ophiuchus-red,aries-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-blue,ophiuchus-green,aquarius-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-blue,ophiuchus-yellow,taurus-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-yellow,ophiuchus-red,aries-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-yellow,ophiuchus-green,aquarius-5,1,n/a,0,n/a,0,n/a,0,n/a,0
ophiuchus-yellow,ophiuchus-blue,pisces-5,1,n/a,0,n/a,0,n/a,0,n/a,0
travel_michelangelo-6,travel-michelangelo-ua,michelangelo-6,99,travel_michelangelo-6,99,mal,99,dir,99,amo,99
qilin-4,qilin-5,amaterasu-4,1,azazel-4,1,jeanne-4,1,musashi_miyamoto-4,1,n/a,0
qilin-5,qilin-6,yellow_rabbit,1,yellow_caterpillar,1,yellow_hatter,1,little_humpty,1,n/a,0
qilin-5,qilin-ua,lupica-5,1,sugaru-4,3,yomi-4,3,n/a,0,n/a,0
qilin-6,qilin-ua,sugaru-4,2,yomi-4,2,n/a,0,n/a,0,n/a,0
qilin-ua,qilin-6,yellow_rabbit,1,yellow_caterpillar,1,yellow_hatter,1,n/a,0,n/a,0
odin-4,odin-5,oz-4,1,arthur-4,1,g-star_children-4,1,hugin_munin-4,1,n/a,0
odin-5,odin-6,blue_rabbit,1,blue_caterpillar,1,blue_hatter,1,n/a,0,n/a,0
odin-5,odin-ua,colchis-5,1,gjallarhorn-4,3,hel-5,2,n/a,0,n/a,0
odin-6,odin-ua,gjallarhorn-4,2,hel-5,1,n/a,0,n/a,0,n/a,0
odin-ua,odin-6,blue_rabbit,1,blue_hatter,1,blue_hatter,1,n/a,0,n/a,0
nobunaga_oda-5,nobunaga_oda-6,kama-4,1,shoki-4,1,yomi-4,1,shiva-4,1,little_humpty,1
nobunaga_oda-5,nobunaga_oda-ua,amaterasu-4,3,sen_no_rikyu-4,3,hanbei_takenaka-5,1,n/a,0,n/a,0
nobunaga_oda-6,nobunaga_oda-ua,amaterasu-4,2,sen_no_rikyu-4,2,n/a,0,n/a,0,n/a,0
nobunaga_oda-ua,nobunaga_oda-6,red_rabbit,1,red_caterpillar,1,red_hatter,1,n/a,0,n/a,0
lucifer-5,lucifer-6,jeanne-4,1,musashi_miyamoto-4,1,freyr-4,1,little_humpty,1,beelzebub-5,1
zeus-5,zeus-6,little_humpty,1,grimm-4,1,shingen_takeda-5,1,typhon-5,1,xena-5,1
set-5,set-6,little_humpty,1,g-star_children-4,1,shiva-4,1,louis_xvi-5,1,osiris-5,1
gilgamesh-5,gilgamesh-6,little_humpty,1,arthur-4,1,gareth-4,1,benkei_musashibo-5,1,tiamat-5,1
lu_bu-5,lu_bu-6,little_humpty,1,azazel-4,1,musashi_miyamoto-4,1,dong_zhuo-5,1,diaochan-5,1
hera-5,hera-6,little_humpty,1,benkei_musashibo-5,1,lupica-5,1,uranus-5,1,delphyne-5,1
kafka-5,kafka-6,little_humpty,1,hugin_munin-4,1,louis_xvi-5,1,osamu_dazai-5,1,shakespeare-5,1
hideyoshi_toyotomi-5,hideyoshi_toyotomi-6,little_humpty,1,amaterasu-4,1,freyr-4,1,uranus-5,1,hanbei_takenaka-5,1
loki-5,loki-6,little_humpty,1,grimm-4,1,dong_zhuo-5,1,delphyne-5,1,hel-5,1
susanoo-5,susanoo-6,little_humpty,1,musashi_miyamoto-4,1,g-star_children-4,1,yomi-4,1,shingen_takeda-5,1
andersen-5,andersen-6,little_humpty,1,hugin_munin-4,1,xena-5,1,colchis-5,1,jekyll_hyde-5,1
alexander-5,alexander-6,little_humpty,1,uranus-5,1,wakahirume-5,1,jekyll_hyde-5,1,zenobia-5,1
arsene_lupin-5,arsene_lupin-6,little_humpty,1,cascade-5,1,dong_zhuo-5,1,jekyll_hyde-5,1,fiend_w_20_faces-5,1
mephisto-5,mephisto-6,little_humpty,1,jeanne-4,1,arthur-4,1,typhon-5,1,zenobia-5,1
perry-5,perry-6,little_humpty,1,louis_xvi-5,1,benkei_musashibo-5,1,osamu_dazai-5,1,wakahirume-5,1
ieyasu_tokugawa-5,ieyasu_tokugawa-6,little_humpty,1,shingen_takeda-5,1,benkei_musashibo-5,1,hanbei_takenaka-5,1,ieyasu_will,1
persephone-5,persephone-6,little_humpty,1,typhon-5,1,kali-5,1,fiend_w_20_faces-5,1,persephone_will,1
medjed-5,medjed-6,little_humpty,1,osiris-5,1,osamu_dazai-5,1,jekyll_hyde-5,1,mini_medjed,1
sandalphon-5,sandalphon-6,little_humpty,1,beelzebub-5,1,hel-5,1,jekyll_hyde-5,1,sandalphon_beytzah,1
cao_cao-5,cao_cao-6,little_humpty,1,jiaolong-5,1,sun_wukong-5,1,yue_lao-5,1,ox-head_horse-face-5,1
ying_zheng-5,ying_zheng-6,little_humpty,1,colchis-5,1,jiaolong-5,1,lan_caihe-5,1,zhang_guolao-5,1
xun_zi-5,xun_zi-6,little_humpty,1,g-star_children-4,1,jiaolong-5,1,sun_wukong-5,1,zhang_guolao-5,1
taotie-5,taotie-6,little_humpty,1,typhon-5,1,beelzebub-5,1,lan_caihe-5,1,hong_gui-5,1
han_fei-5,han_fei-6,little_humpty,1,diaochan-5,1,hanbei_takenaka-5,1,sun_wukong-5,1,cao_guojiu-5,1
qiong_qi-5,qiong_qi-6,little_humpty,1,g-star_children-5,1,tiamat-5,1,ox-head_horse-face-5,1,ji_chang-5,1
li_si-5,li_si-6,little_humpty,1,g-star_children-4,1,kali-5,1,hel-5,1,ox-head_horse-face-5,1
hun_dun-5,hun_dun-6,little_humpty,1,kali-5,1,hanzo_hattori-5,1,fiend_w_20_faces-5,1,yue_lao-6,1
lu_ban-5,lu-ban-6,little_humpty,1,lan_caihe-5,1,grimm-4,1,lupica-5,1,jekyll_hyde-5,1
ban_gu-5,ban_gu-6,little_humpty,1,gareth-4,1,colchis-5,1,athena-5,1,jekyll_hyde-5,1
ban_chao-5,ban_chao-6,little_humpty,1,atlas-5,1,eris-5,1,benkei_musashibo-5,1,yue_lao-5,1
huainanzi-5,huainanzi-6,little_humpty,1,musashi_miyamoto-4,1,oz-4,1,hanzo_hattori-5,1,jekyll_hyde-5,1
painted_skin-5,painted_skin-6,little_humpty,1,shoki-4,1,yomi-4,1,kali-5,1,fiend_w_20_faces-5,1
yog-sothoth-5,yog-sothoth-6,little_humpty,1,naga-5,1,hellsing-5,1,antoine-5,1,colossus-5,1
rasputin-5,rasputin-6,little_humpty,1,naga-5,1,hellsing-5,1,antoine-5,1,colossus-5,1
shub-niggurath-5,shub-niggurath-6,little_humpty,1,atlas-5,1,kali-5,1,brahma-5,1,hel-5,1
cthugha-5,cthugha-6,little_humpty,1,diaochan-5,1,jekyll_hyde-5,1,zenobia-5,1,nightgaunt-5,1
mi-go-5,mi-go-6,little_humpty,1,grimm-4,1,typhon-5,1,eris-5,1,osamu_dazai-5,1
tsathoggua-5,tsathoggua-6,little_humpty,1,tsathoggua-5,20,n/a,0,n/a,0,n/a,0
taurus-5,taurus-6,little_humpty,1,gael-4,1,misako-3,1,chika-3,1,lisa-3,1
pisces-5,pisces-6,little_humpty,1,iria-4,1,gothel-4,1,mjolnir-4,1,nelson-4,1
aries-5,aries-6,little_humpty,1,siren-4,1,colchis-5,1,shizuka_gozen-4,1,gjallarhorn-4,1
aquarius-5,aquarius-6,little_humpty,1,yuuya-4,1,kanetsugu_naoe-4,1,reflect_mirror-4,1,cyclops-4,1
capricorn-5,capricorn-6,little_humpty,1,nue-3,1,witch_octopus-4,1,haydn_ogre-4,1,g-star_children-4,1
lee_bangwon-5,lee_bangwon-6,little_humpty,1,freyr-4,1,shiva-4,1,mongryeong-5,1,hongryeon-5,1
eoudong-5,eoudong-6,little_humpty,1,kama-4,1,diaochan-5,1,kali-5,1,delphyne-5,1
lee_sunggye-5,lee_sunggye-6,little_humpty,1,louis_xvi-5,1,uranus-5,1,hongryeon-5,1,gyebaek-5,1
yeonsangun-5,yeonsangun-6,little_humpty,1,louis_xvi-5,1,tiamat-5,1,dong_zhuo-5,1,kali-5,1
jang_hui-bin-5,jang_hui-bin-6,little_humpty,1,azazel-4,1,shoki-4,1,beelzebub-5,1,mongryeong-5,1
buyeo_gu-5,buyeo_gu-6,little_humpty,1,typhon-5,1,atlas-5,1,eris-5,1,athena-5,1
sobyeol-wang-5,sobyeol-wang-6,little_humpty,1,shoki-4,1,yomi-4,1,lupica-5,1,shakespeare-5,1
pyohun_daedeok-5,pyohun_daedeok-6,little_humpty,1,azazel-4,1,freyr-4,1,dong_zhuo-5,1,delphyne-5,1
ao-5,ao-6,little_humpty,1,paper-5,1,movable_type-5,1,gunpowder-5,1,compass-5,1
du_fu-5,du_fu-6,little_humpty,1,yomi-4,1,tiamat-5,1,kali-5,1,delphyne-5,1
li_he-5,li_he-6,little_humpty,1,shoki-4,1,xena-5,1,lupica-5,1,kali-5,1
li_qingzhao-5,li_qingzhao-6,little_humpty,1,jeanne-4,1,kama-4,1,hel-5,1,zenobia-5,1
ouyang_xiu-5,ouyang_xiu-6,little_humpty,1,freyr-4,1,cascade-5,1,osiris-5,1,osamu_dazai-5,1
past_belial-5,past_belial-6,little_humpty,1,ose_justice,10,forneus_arrogance,10,baphomet_pleasure,10,n/a,0
nurupon_white,nurupon_red,little_humpty,1,nurupon_cube,50,n/a,0,n/a,0,n/a,0
nurupon_white,nurupon_green,little_humpty,1,nurupon_cube,50,n/a,0,n/a,0,n/a,0
nurupon_white,nurupon_blue,little_humpty,1,nurupon_cube,50,n/a,0,n/a,0,n/a,0
nurupon_white,nurupon_yellow,little_humpty,1,nurupon_cube,50,n/a,0,n/a,0,n/a,0
yao_bikuni-5,yao_bikuni-6,little_humpty,1,amaterasu-4,1,yomi-4,1,wakahirume-5,1,undine,1
tezcatlipoca-5,tezcatlipoca-6,dynamo_dormouse,2,yellow_hatter,3,n/a,0,n/a,0,n/a,0
french_rev_army-5,french_rev_army-6,louis_xvi-5,2,arthur-4,1,n/a,0,n/a,0,n/a,0
malphas-5,malphas-6,nue-3,1,rahu-3,1,n/a,0,n/a,0,n/a,0
cb_atsuhime-5,cb_atsuhime-6,kaede-4,1,nelson-4,1,n/a,0,n/a,0,n/a,0
griffon_turtle-5,griffon_turtle-6,amaterasu-4,1,thousand_gales_griffon,1,deep_sea_turtle,1,n/a,0,n/a,0
ogai_mori-5,ogai_mori-6,jekyll_hyde-5,1,n/a,0,n/a,0,n/a,0,n/a,0
megatherium-5,megatherium-6,wakahirume-5,1,n/a,0,n/a,0,n/a,0,n/a,0
z_hikoboshi_orihime-5,z_hikoboshi-6,delphyne-5,1,n/a,0,n/a,0,n/a,0,n/a,0
z_cockcroft-5,z_cockcroft-6,hera-5,1,n/a,0,n/a,0,n/a,0,n/a,0
isekai_izanami-5,isekai_izanami-6,hel-5,1,n/a,0,n/a,0,n/a,0,n/a,0
pythagoras-5,pythagoras-6,sun_wukong-5,1,n/a,0,n/a,0,n/a,0,n/a,0
xmas_erwin-5,xmas_erwin-6,shakespeare-5,1,n/a,0,n/a,0,n/a,0,n/a,0
xmas_galileo-5,xmas_galileo-6,odin-4,1,n/a,0,n/a,0,n/a,0,n/a,0
four_guardians_cmr-tn-5,four_guardians_cmr-tn-6,arthur-4,1,n/a,0,n/a,0,n/a,0,n/a,0
ny_beelzebub-5,ny_beelzebub-6,beelzebub-5,1,n/a,0,n/a,0,n/a,0,n/a,0
pito-5,pito-6,lupica-5,1,n/a,0,n/a,0,n/a,0,n/a,0
valentines_sphinx-5,valentines_sphinx-6,hugin_munin-4,1,n/a,0,n/a,0,n/a,0,n/a,0
valentines_sphinx-5,valentines_sphinx-ua,manager_handmade_cake,1,hugin_munin-4,1,n/a,0,n/a,0,n/a,0
valentines_sphinx-6,valentines_sphinx-ua,manager_handmade_cake,1,n/a,0,n/a,0,n/a,0,n/a,0
valentines_sphinx-ua,valentines_sphinx-6,yellow_hatter,1,n/a,0,n/a,0,n/a,0,n/a,0
valentines_amontons-5,valentines_amontons-6,atlas-5,,n/a,0,n/a,0,n/a,0,n/a,0
valentines_amontons-5,valentines_amontons-ua,mgr_mint_choco_mush,1,atlas-5,1,n/a,0,n/a,0,n/a,0
valentines_amontons-6,valentines_amontons-ua,mgr_mint_choco_mush,1,n/a,0,n/a,0,n/a,0,n/a,0
valentines_amontons-ua,valentines_amontons-6,red_hatter,1,n/a,0,n/a,0,n/a,0,n/a,0
onsen_fiend_w_20_faces-5,onsen_fiend_w_20_faces-6,jp_cthugha-5,1,n/a,0,n/a,0,n/a,0,n/a,0
rap_happy_yoshino-5,rap_happy_yoshino-6,paper-5,1,n/a,0,n/a,0,n/a,0,n/a,0
zhong_kui-5,zhong_kui-6,little_humpty,1,grimm-4,1,shoki-4,1,ox-head_horse-face-5,1,cao_guojiu-5,1
